    X1     Y1     X2     Y2 <S(X1,Y1).S(X2,Y2)> (D=32k)
     0      0      0      0   0.696012
     0      0      0      1  -0.395029
     0      0      0      2   0.154442
     0      0      0      3  -0.148457
     0      0      1      0  -0.388841
     0      0      1      1   0.182917
     0      0      1      2  -0.165672
     0      0      1      3   0.118923
     0      0      2      0   0.154079
     0      0      2      1  -0.162111
     0      0      2      2   0.121477
     0      0      2      3  -0.118077
     0      0      3      0  -0.117553
     0      0      3      1   0.106549
     0      0      3      2  -0.104858
     0      0      3      3   0.089393
     0      0      4      0   0.077414
     0      0      4      1  -0.083575
     0      0      4      2   0.076413
     0      0      4      3  -0.074553
     0      0      5      0  -0.054415
     0      0      5      1   0.055343
     0      0      5      2  -0.056203
     0      0      5      3   0.048333
     0      0      6      0   0.031566
     0      0      6      1  -0.036267
     0      0      6      2   0.034961
     0      0      6      3  -0.032593
     0      0      7      0  -0.014557
     0      0      7      1   0.016350
     0      0      7      2  -0.017306
     0      0      7      3   0.012750
     0      0      8      0  -0.001698
     0      0      8      1  -0.001486
     0      0      8      2   0.001123
     0      0      8      3   0.000357
     0      0      9      0   0.011579
     0      0      9      1  -0.010883
     0      0      9      2   0.010295
     0      0      9      3  -0.012125
     0      0     10      0  -0.021022
     0      0     10      1   0.019377
     0      0     10      2  -0.019672
     0      0     10      3   0.019967
     0      0     11      0   0.024245
     0      0     11      1  -0.024388
     0      0     11      2   0.024043
     0      0     11      3  -0.024509
     0      0     12      0  -0.026927
     0      0     12      1   0.026502
     0      0     12      2  -0.026755
     0      0     12      3   0.026394
     0      0     13      0   0.026300
     0      0     13      1  -0.026363
     0      0     13      2   0.026152
     0      0     13      3  -0.026588
     0      0     14      0  -0.023422
     0      0     14      1   0.024623
     0      0     14      2  -0.024810
     0      0     14      3   0.023283
     0      0     15      0   0.023991
     0      0     15      1  -0.022658
     0      0     15      2   0.022522
     0      0     15      3  -0.024301
     0      1      0      0  -0.395029
     0      1      0      1   0.681016
     0      1      0      2  -0.296805
     0      1      0      3   0.154442
     0      1      1      0   0.178182
     0      1      1      1  -0.289173
     0      1      1      2   0.161499
     0      1      1      3  -0.145325
     0      1      2      0  -0.152199
     0      1      2      1   0.138293
     0      1      2      2  -0.132712
     0      1      2      3   0.113970
     0      1      3      0   0.099711
     0      1      3      1  -0.105756
     0      1      3      2   0.097650
     0      1      3      3  -0.094390
     0      1      4      0  -0.075791
     0      1      4      1   0.076012
     0      1      4      2  -0.076108
     0      1      4      3   0.069457
     0      1      5      0   0.049245
     0      1      5      1  -0.054121
     0      1      5      2   0.052521
     0      1      5      3  -0.049082
     0      1      6      0  -0.031262
     0      1      6      1   0.033863
     0      1      6      2  -0.034380
     0      1      6      3   0.029914
     0      1      7      0   0.013096
     0      1      7      1  -0.016421
     0      1      7      2   0.016131
     0      1      7      3  -0.013600
     0      1      8      0   0.000461
     0      1      8      1   0.001442
     0      1      8      2  -0.001757
     0      1      8      3  -0.000927
     0      1      9      0  -0.011075
     0      1      9      1   0.009625
     0      1      9      2  -0.009736
     0      1      9      3   0.010664
     0      1     10      0   0.018953
     0      1     10      1  -0.018214
     0      1     10      2   0.018034
     0      1     10      3  -0.019182
     0      1     11      0  -0.022871
     0      1     11      1   0.022531
     0      1     11      2  -0.022630
     0      1     11      3   0.022607
     0      1     12      0   0.024855
     0      1     12      1  -0.024934
     0      1     12      2   0.024817
     0      1     12      3  -0.024971
     0      1     13      0  -0.024812
     0      1     13      1   0.024514
     0      1     13      2  -0.024586
     0      1     13      3   0.024644
     0      1     14      0   0.021827
     0      1     14      1  -0.023158
     0      1     14      2   0.023079
     0      1     14      3  -0.021860
     0      1     15      0  -0.022658
     0      1     15      1   0.021109
     0      1     15      2  -0.021157
     0      1     15      3   0.022523
     0      2      0      0   0.154442
     0      2      0      1  -0.296805
     0      2      0      2   0.681016
     0      2      0      3  -0.395029
     0      2      1      0  -0.145325
     0      2      1      1   0.161498
     0      2      1      2  -0.289173
     0      2      1      3   0.178182
     0      2      2      0   0.113970
     0      2      2      1  -0.132712
     0      2      2      2   0.138293
     0      2      2      3  -0.152199
     0      2      3      0  -0.094390
     0      2      3      1   0.097650
     0      2      3      2  -0.105755
     0      2      3      3   0.099711
     0      2      4      0   0.069457
