     X      Y hole density (D=32k)
     0      0   0.047460
     0      1   0.058400
     0      2   0.058399
     0      3   0.047459
     1      0   0.079969
     1      1   0.097967
     1      2   0.097966
     1      3   0.079967
     2      0   0.120945
     2      1   0.146760
     2      2   0.146758
     2      3   0.120939
     3      0   0.144738
     3      1   0.182378
     3      2   0.182387
     3      3   0.144766
     4      0   0.144948
     4      1   0.188097
     4      2   0.188088
     4      3   0.144915
     5      0   0.138795
     5      1   0.175866
     5      2   0.175873
     5      3   0.138820
     6      0   0.115189
     6      1   0.141719
     6      2   0.141716
     6      3   0.115171
     7      0   0.098322
     7      1   0.118303
     7      2   0.118304
     7      3   0.098332
     8      0   0.098333
     8      1   0.118305
     8      2   0.118301
     8      3   0.098321
     9      0   0.115180
     9      1   0.141715
     9      2   0.141716
     9      3   0.115184
    10      0   0.138811
    10      1   0.175869
    10      2   0.175870
    10      3   0.138817
    11      0   0.144954
    11      1   0.188105
    11      2   0.188100
    11      3   0.144936
    12      0   0.144765
    12      1   0.182405
    12      2   0.182412
    12      3   0.144787
    13      0   0.120979
    13      1   0.146801
    13      2   0.146800
    13      3   0.120973
    14      0   0.080004
    14      1   0.098010
    14      2   0.098010
    14      3   0.080003
    15      0   0.047483
    15      1   0.058428
    15      2   0.058428
    15      3   0.047482
