    X1     Y1     X2     Y2 <N(X1,Y1).N(X2,Y2)> (D=32k)
     0      0      0      0   2.113303
     0      0      0      1   1.895775
     0      0      0      2   1.945384
     0      0      0      3   1.953344
     0      0      0      4   1.954015
     0      0      0      5   1.949449
     0      0      0      6   1.959225
     0      0      0      7   1.959887
     0      0      1      0   1.893771
     0      0      1      1   1.939463
     0      0      1      2   1.914062
     0      0      1      3   1.886263
     0      0      1      4   1.885819
     0      0      1      5   1.914533
     0      0      1      6   1.941873
     0      0      1      7   1.957803
     0      0      2      0   1.938406
     0      0      2      1   1.919382
     0      0      2      2   1.867727
     0      0      2      3   1.847068
     0      0      2      4   1.846449
     0      0      2      5   1.869417
     0      0      2      6   1.921493
     0      0      2      7   1.941981
     0      0      3      0   1.936729
     0      0      3      1   1.883758
     0      0      3      2   1.794316
     0      0      3      3   1.692206
     0      0      3      4   1.691238
     0      0      3      5   1.792690
     0      0      3      6   1.882024
     0      0      3      7   1.936591
     0      0      4      0   1.924586
     0      0      4      1   1.850055
     0      0      4      2   1.716081
     0      0      4      3   1.641163
     0      0      4      4   1.641399
     0      0      4      5   1.715633
     0      0      4      6   1.848802
     0      0      4      7   1.924164
     0      0      5      0   1.925929
     0      0      5      1   1.853459
     0      0      5      2   1.718666
     0      0      5      3   1.639376
     0      0      5      4   1.639547
     0      0      5      5   1.719448
     0      0      5      6   1.853489
     0      0      5      7   1.925464
     0      0      6      0   1.933176
     0      0      6      1   1.875471
     0      0      6      2   1.781176
     0      0      6      3   1.679186
     0      0      6      4   1.679725
     0      0      6      5   1.782536
     0      0      6      6   1.875948
     0      0      6      7   1.933625
     0      0      7      0   1.936998
     0      0      7      1   1.900284
     0      0      7      2   1.826459
     0      0      7      3   1.763826
     0      0      7      4   1.764093
     0      0      7      5   1.827187
     0      0      7      6   1.900689
     0      0      7      7   1.937425
     0      0      8      0   1.937104
     0      0      8      1   1.900464
     0      0      8      2   1.826676
     0      0      8      3   1.764063
     0      0      8      4   1.764349
     0      0      8      5   1.827382
     0      0      8      6   1.900709
     0      0      8      7   1.937392
     0      0      9      0   1.933149
     0      0      9      1   1.875543
     0      0      9      2   1.781434
     0      0      9      3   1.679573
     0      0      9      4   1.680166
     0      0      9      5   1.783037
     0      0      9      6   1.876346
     0      0      9      7   1.933872
     0      0     10      0   1.926053
     0      0     10      1   1.853612
     0      0     10      2   1.718770
     0      0     10      3   1.639588
     0      0     10      4   1.640103
     0      0     10      5   1.720188
     0      0     10      6   1.853953
     0      0     10      7   1.925652
     0      0     11      0   1.924638
     0      0     11      1   1.850123
     0      0     11      2   1.716216
     0      0     11      3   1.641726
     0      0     11      4   1.642355
     0      0     11      5   1.716590
     0      0     11      6   1.849402
     0      0     11      7   1.924490
     0      0     12      0   1.937172
     0      0     12      1   1.884317
     0      0     12      2   1.795170
     0      0     12      3   1.693634
     0      0     12      4   1.692365
     0      0     12      5   1.793527
     0      0     12      6   1.882421
     0      0     12      7   1.936798
     0      0     13      0   1.940639
     0      0     13      1   1.920592
     0      0     13      2   1.868409
     0      0     13      3   1.847783
     0      0     13      4   1.847052
     0      0     13      5   1.869985
     0      0     13      6   1.921895
     0      0     13      7   1.942326
     0      0     14      0   1.958337
     0      0     14      1   1.943206
     0      0     14      2   1.915455
     0      0     14      3   1.886902
     0      0     14      4   1.886346
     0      0     14      5   1.914914
     0      0     14      6   1.942109
     0      0     14      7   1.957975
     0      0     15      0   1.959098
     0      0     15      1   1.958006
     0      0     15      2   1.947721
     0      0     15      3   1.953717
     0      0     15      4   1.954229
     0      0     15      5   1.949683
     0      0     15      6   1.959400
     0      0     15      7   1.960071
     0      1      0      0   1.895775
     0      1      0      1   2.151806
     0      1      0      2   1.889321
     0      1      0      3   1.950529
     0      1      0      4   1.952782
     0      1      0      5   1.948357
     0      1      0      6   1.958142
     0      1      0      7   1.958804
     0      1      1      0   1.952485
